hicl,ingredient,support,total
35087,flight ear plugs,2,2
35092,saw palmetto,41,41
35093,"multivit, calcium, iron,minerals/folic acid/herb complex",1,1
35107,famotidine,1143,1183
35116,flintstones,3,3
35117,"multivit,calcium,iron,minerals/folic acid/guarana, caffeine",1,1
35131,"vitamins a,c,e-minerals-herbal complex no.147",1,1
35133,lithium aspartate,2,2
35146,os,1,1
35149,nilotinib hcl,2,3
35152,inject-ease,2,2
35160,truform compression stocking,1,1
35163,"compression stocking, knee high, long length, medium",7,7
35164,glucosamine hcl-chondroit sul sod-herb cmplx,1,1
35167,prenatal complete,2,2
35184,wheelchair,1,1
35185,v-c forte,2,3
35225,boswellia serrata extract,3,3
35243,salicylic acid,1,1
35252,d-mannose,1,1
35262,renvela,1352,1691
35277,sinecatechins,2,2
35282,cefazolin,2017,2017
35285,tylenol cold severe congestion,2,2
35295,parenteral nutrition,5,5
35342,etravirine,35,64
35344,multivitamins,760,775
35395,simcor,8,9
35403,"compression socks, large",4,4
35420,pristiq,125,129
35433,benadryl allergy plus cold,1,3
35445,tylenol cold & flu severe,9,10
35451,cnl,1,1
35456,menthol/aloe vera extract,1,1
35469,calcium + d3,83,191
35478,glyburid-metformin hcl,1,1
35487,insulin pump,113,115
35504,se,2,2
35516,ephedrine,836,836
35517,phenylephrine,182,182
35534,treximet,17,18
35554,cimzia,3,3
35561,iron,7,7
35565,prenatal vitamin,4,4
35571,j-cof dhc,1,1
35575,oxacillin,3,3
35576,calcium phos/magnesium hydroxide/vit c & d3/phosphorus,2,2
35577,acidophilus,289,289
35583,b-12,20,20
35585,biotin plus-calcium & vit d3,5,5
35587,phenylephrine,1750,1750
35595,neomycin sulf/bacitracin zinc/polymyxin b sulf/pramoxine hcl,329,337
35602,ocuvite,173,173
35604,pradaxa,520,549
35606,toviaz,129,154
35611,relistor,13,17
35612,zinc oxide,34,52
35625,lexiscan,1,2
35627,cardiotek-rx,2,2
35633,kcentra,1,1
35639,uti-stat,2,2
35645,pro-red ac,1,1
35673,codituss dm,1,1
35675,mesalamine,81,81
35696,vit c/cherry ext/celery seed ext/celery seed/grape seed ext,6,7
35704,grape artificial flavor,1,1
35708,omega,3,3
35715,culturelle,16,16
35718,ferrous sulf/fa/vit b & c no.8,1,1
35740,calcium,7,8
35743,cholecalciferol (vit d3)/vitamin k2,122,131
35747,citranatal rx,1,1
35749,vitamin b complex,291,294
35765,flura-safe,72,72
35779,nicardipine,2668,2668
35788,cavilon,7,7
35792,pr,4,5
35795,alvimopan,5,9
35800,biotene moisturizing mouth,9,9
35805,clonidine hcl,54,70
35821,ocean,8,8
35822,ocean complete,18,18
35827,glucosamine-chondroitin,1,2
35848,cefepime,449,449
35850,advil pm,3,5
35872,vimpat,197,282
35877,sancuso,20,27
35883,metamucil,161,188
35897,biotin,238,238
35900,vitamin d3,181,181
35902,ca comb no.1/vitamin d3/pyridoxine hcl/fa/vit b12/aloe vera,5,5
35904,prostate health formula,1,1
35910,estroven energy,3,3
35915,xarelto,1381,1630
35922,"multivits w-ca, other min/folic acid/herbal complex no.157",4,5
35937,ocean,2,2
35946,lip balm,1,1
35951,multivital,11,16
35962,firazyr,1,1
35964,aldosterone,1,1
35989,promacta,11,11
36003,creatinine,6,6
36005,toxin control,1,1
36009,prandimet,1,1
36019,trilipix,82,94
36020,fish oil,468,513
36044,oil of oregano,1,2
36046,phytosterol combination no.1,4,4
36085,dexilant,311,358
36086,atropine,30,34
36090,spirometers and accessories,3,3
36092,a + d,4,4
36095,ubiquinone,8,8
36097,morphine,3,3
36106,uloric,158,205
36117,beta,1,1
36119,rapaflo,60,93
36126,liquid protein fortifier,3,3
36133,chromium picolinate,4,4
36138,firmagon,5,7
36140,ciclopirox,21,21
36144,cysteine,1,1
36156,bupropion hbr,699,699
36158,feosol,276,277
36159,effient,203,268
36187,stelara,1,1
36188,provent,2,2
36207,vit d3/vit k/berberine hcl/hops (humulus lupulus),1,1
36211,cholecalciferol (vit d3)/soy isoflavone,444,444
36225,calcium carb&citrate/vitamin d3/mineral comb no.34/genistein,96,109
36266,integra plus,2,2
36270,aveeno,9,9
36278,simponi,11,13
36292,prenatal vit #16/iron fum & ps complex/folic acid/omega-3,20,21
36305,amlodipine besylate/valsartan/hydrochlorothiazide,9,11
36315,lidocaine hcl,22,22
36320,omega,4,6
36322,men's,3,3
36323,calcium carbonate/vitamin d3/arginine/inositol/silicon,3,3
36324,pnv-dha,1,1
36325,estradiol valerate/dienogest,1,1
36344,mometasone furoate/ammonium lactate,1,1
36346,norepinephrine,6779,7924
36348,tolvaptan,8,8
36349,grape seed,6,6
36350,besifloxacin hcl,4,5
36361,diabetisource ac,3,3
36368,zinc,1,1
36389,eucerin,16,16
36398,fish oil + vitamin d-3,1,2
36401,nephplex rx,3,3
36403,in control blood monitor,1,1
36411,nucynta,34,51
36416,bacmin,2,3
36419,fiber choice,10,10
36432,vitamin b complex#11/folic acid/ascorbic acid/biotin/zn oxid,1,1
36436,victoza,100,174
36437,epinephrine,1467,1467
36439,feraheme,6,8
36444,multaq,132,170
36446,nephronex,8,11
36466,tocilizumab,32,33
36471,onglyza,138,195
36477,dysport,1,1
36479,invega sustenna,9,11
36505,timoptic ocudose,2,2
36510,multi-vite,29,57
36515,fenofibric acid,23,23
36516,vit b complex,4,7
36518,vit b complex,5,5
36524,urea,9,9
36537,tyvaso,1,1
36539,tyvaso,2,2
36541,treprostinil,10,12
36550,clonidine,3106,3150
36551,natural tears,6,6
36570,prenatal vit with calcium #60/iron/folic acid/dha,1,1
36576,saphris,13,22
36578,nystatin/lidocaine hcl/diphenhydramine hcl,1,1
36589,calcium citrate/magnesium ox/vit d2/manganese/boron/silica,1,1
36594,glucos/msm/collagen typ ii/vit c/manganese/herb cmplx no.21,8,8
36630,regenecare,2,2
36642,hydrocortisone-pramoxine,1,1
36661,krill oil/omega-3/dha/epa/omega-6/phospholipids/astaxanthin,2,2
36668,hydrocortisone/emollient combination no.45,1,1
36683,pedialyte,2,2
36690,telavancin hcl,1,1
36693,probiotic formula,1,1
36694,chlorpheniramine maleate/phenylephrine bitartrate/aspirin,1,1
36709,votrient,4,5
36710,lancet device,3,3
36712,mederma,1,1
36713,tricode ar,12,12
36740,chlo tuss,2,2
36749,lacto acidophilus/l. bulgaricus/bifido b/s. thermophilus,58,79
36750,calcium cit/magnesium/d3/zinc ox/copper gluc/manganese/boron,9,10
36755,vitamin b complex no.12/niacinamide,9,9
36778,fanapt,8,8
36787,ferractiv iron,4,4
36798,juven,28,31
36799,citranatal,1,1
36801,cystex,1,1
36808,methylprednisolone sodium succ,4650,10062
36811,lollibase,2,2
36817,centrum ultra men's,1,1
36833,multivitamins with fluoride,4,7
36843,metanx,56,58
36856,pneumococcal,1,1
36860,calcium carbonate & citrate/vitamin d3/phytosterol,7,7
36861,b-complex,13,13
36870,chia seed oil,1,1
36874,velaglucerase alfa,2,2
36875,hydrocortisone na succinate pf,930,1449
36879,prenatal mv & min,2,2
36882,visine,11,11
36886,women's,2,3
36887,hydrocortisone acetate/pramoxine hcl/emollient base,2,2
36899,deplin,16,17
36905,"calcium carbonate,calcium gluconate/ergocalciferol (vit d2)",2,2
36910,cerefolin nac,2,2
36915,vitamin c,22,22
36919,centrum,49,136
36921,vitamin c,255,255
36931,glucosamine-chondroitin,2,2
36934,"multivitamins with calcium, minerals/folic acid",1,1
36940,fe,6,7
36941,lutein,83,86
36942,decubi vite,50,50
36948,multivitamin/zinc oxide,1,1
36961,neuraxon,1,1
36963,calcium carbonate/vit d3/magnesium oxide/folic acid/vit k,1,1
36964,vimovo,3,4
36966,provenge,1,1
36982,glucosamine/chondr-collagen complex/vit d3/vit c/manganese,1,1
36983,livalo,34,49
36984,jalyn,34,34
36994,choline citrate,2,2
37004,coral calcium,3,3
37012,prolia,65,86
37019,lid scrub compliance,2,2
37021,cefepime,18,20
37024,prenatal vitamins,9,9
37025,prenatal plus,2,2
37032,prenatal low iron,3,3
37037,imuhance,4,4
37050,dulera,337,353
37053,arthri-flex,2,2
37060,one a day women's prenatal dha,2,2
37061,flintstones multi-vit gummies,3,3
37064,whey protein,11,11
37082,theanine,10,10
37087,restora,3,3
37089,tribenzor,22,28
37093,acyclovir/hydrocortisone,3,3
37109,calcium gluconate,2698,2698
37111,bacillus coagulans/inulin,1,1
37123,daliresp,478,520
37127,omega,20,20
37135,tekamlo,2,2
37152,suprep,4,4
37160,hylatopic plus,1,1
37177,statuss green,1,1
37180,gilenya,3,3
37183,vit b complex & vit c no.11/calcium/dha/coenzyme q-10,14,14
37189,probiotic & acidophilus,4,4
37200,beyaz,1,1
37202,resveratrol,15,15
37207,multivitamin,7147,7147
37221,alcortin a,1,2
37237,venaliv,1,1
37243,teflaro,17,18
37246,kombiglyze,47,49
37261,zostavax,18,18
37278,nuedexta,40,42
37280,first-mary's,2,2
37310,"multivit w-ca, min/iron chelate/fa/lutein/herbal #179",106,106
37319,bifidobacterium bifidum/bifidobacterium longum,3,3
37321,latuda,92,116
37328,ticagrelor,1093,1250
37332,omega-3,15,18
37333,amturnide,2,2
37336,hyaluronic acid,11,11
37346,theragran-m premier,258,258
37347,echinacea,8,8
37356,potassium and sodium phosphate,1253,1253
37358,phenobarbital-ns,4,5
37378,"multivitamins-a,b,d,e,k,zn",33,64
37380,flax seed oil,85,96
37381,cranberry plus vitamin c,8,12
37387,pediatric multivitamin combination no.25/folic acid,3,3
37394,analpram advanced,1,1
37398,morinda citrifolia fruit,2,2
37410,norepinephrine bitar-0.9% nacl,19,19
37411,"borage oil/fish oil (anchovy,sardine)/fructose/soy lecithin",1,1
37420,doxylamine succ/pseudoephedrine hcl/dextromethorphan hbr,1,1
37424,multivitamin w-minerals/ferrous fumarate/fa/omega,9,9
37440,estroven nighttime,1,1
37442,vancomycin,3363,3363
37444,edarbi,5,5
37450,clindacin etz,14,14
37458,buffered lidocaine,2597,2597
37459,cosamin ds,2,2
37462,benlysta,4,5
37478,cosamin asu,7,7
37503,ipilimumab,1,1
37537,methylprednisolone,8,8
37546,echinacea,2,2
37558,cardiosterol,20,20
37571,zytiga,30,32
37574,horizant,2,3
37576,tradjenta,186,265
37585,bayer pm,1,1
37589,phillips' colon health,7,7
37593,calcium carbonate & lactate-cholecalciferol (vitamin d3),6,6
37597,vilazodone hydrochloride,35,59
37602,iron bis-glycinate chelate/fa/vit c/b12/ca-thr/succinic acid,1,1
37610,calcium citrate/cholecalciferol (vit d3)/isoflavonones no.2,1,1
37628,edurant,6,12
37635,prenatal dha+complete prenatal,1,1
37649,methadone hcl,18,18
37661,beta glucan,1,1
37667,potiga,1,1
37668,glucosamine su dipot chl/chondroitin sul sod/vit c/manganese,2,2
37669,glucosamine & chondroitin,209,209
37674,fidaxomicin,1,1
37677,cranberry,22,23
37678,nexterone,1418,2426
37690,vit d3/vit e mixed/se/soy isoflav/gamma tocopherol/lycopene,36,36
37692,calcium cit/vit d3/vit k/mag ox/strontium cit/sodium borate,1,1
37693,b complex with vitamin c,2,2
37701,aloe vera,4,4
37706,turmeric root extract,2,2
37714,prenatal no.29/iron carb & asp.glycinate/fa/dha/fish oil,1,1
37727,prenatal formula,1,1
37739,calcium carbonate/vitamin d3/magnesium oxide/zinc oxide,3,5
37740,pediatric multivitamin combination no.29,1,1
37742,vitamin b comp w-c/calcium carbonate,5,6
37747,omega,73,74
37750,daily multivitamin,1,1
37758,red yeast rice,78,78
37760,epoprostenol sodium,1,1
37762,veletri,7,7
37768,fentanyl citrate,5,5
37769,ceftazidime,46,46
37777,prenatal + dha,4,5
37792,eliquis,511,641
37793,prenatal vits #4/iron fumarate & polysacc complex/folic acid,1,1
37822,complera,11,11
37825,orencia,19,22
37828,prostate health formula,26,26
37835,i-caps,20,21
37837,zelboraf,1,1
37870,decamethylcyclopentasiloxane,21,21
37916,xalkori,7,10
37918,aurodex,2,2
37939,omega-3/dha/epa/d3/b12/folic acid/pyridox hcl/phytosterol,1,1
37943,vit,27,27
38009,lemon flavor extract,2,2
38018,prenatal formula,1,1
38027,chlorpheniramine/dextromethorphan/acetaminophen/guaifenesin,5,5
38039,peg,2,2
38104,probiotic,2,2
38109,folate #5/iron/c/calcium-threonate/phosphat-dha/b cmp no.14,50,50
38114,prednisone,45,45
38140,cranberry-probiotic,4,5
38143,cardio omega benefits,5,7
38161,dexbromphen-pseudoephedrine-dextromethorphan,1,1
38176,decadron,25,25
38191,magnesium aluminum silicate,2,2
38202,jakafi,29,42
38205,prenatal multivitamins,61,109
38209,eylea,3,5
38212,preque,1,1
38224,hydrazine sulfate,18,18
38226,dologen,2,2
38230,prenatal,28,28
38238,vitamin b comp &c/ferrous fumarate/folic acid/vit d3/zinc ox,154,197
38284,imidurea,2,2
38300,cresol (m),5,9
38327,glucosamine chondroitin,2,2
38328,chlorpheniramine mal/phenylephrine/d-methorphan hb/aspirin,33,33
38370,edarbyclor,5,6
38373,levetiracetam,329,334
38382,prenata,10,10
38387,voraxaze,1,1
38408,celery seed oil,1,1
38424,bubble gum flavor,1,1
38438,cardamom oil,2,2
38446,axitinib,8,16
38448,"mvi, adult no.4 with vit k",1393,2598
38451,bydureon,22,24
38464,jentadueto,6,7
38480,prena1 plus,1,1
38494,calcium carb/d3/soy isoflav/horsetail extract/lactobacillus,2,2
38496,cardiamin,11,11
38515,vitamin d3 complete,3,3
38529,systane,61,61
38595,refresh classic,3,3
38604,marigold extract,1,1
38607,prenatal multi + dha,2,2
38613,lactobacillus acidoph/bifidobact anim/globulin protein conc,147,147
38631,diphenhydramine hcl in,38,38
38636,prena1,4,4
38645,dexamethasone,5,5
38688,vit b12/iodine/mag ox/znox/selenium/herbal complex no.193,30,30
38714,provella,2,2
38733,prorenal qd,1,1
38771,bioflavonoid citrus,1,1
38779,osteo bi-flex,42,44
38858,bioflex,2,3
38865,azo cranberry,2,2
38906,tumersaid,2,2
38916,sulfabenzamide,5,5
38928,menthol/zinc chloride/benzocaine/cetylpyridinium chloride,1,1
38941,carboxymethylcellulose sodium/glycerin/polysorbate,1,1
38953,dymista,22,23
38980,"multivit, ca, minerals/ferrous gluconate/folic acid/biotin",1,1
39006,sodium chlorite,4,4
39013,"multivitamin with calcium, minerals/iron/folic acid/lutein",1,1
39023,geritol tonic,1,1
39028,geritol complete,9,9
39210,ketoconazole/skin cleanser combination no.28,10,10
39215,krill oil,48,50
39220,macular benefits,5,6
39237,delsym cough relief plus,1,1
39276,prenatal vitamin #50/iron fumarate & bisglycinate/folic acid,9,9
39287,prenatal vitamin no.51/iron fumarate/fa/omega-3/dha/epa,1,1
39294,cola flavor,3,3
39306,hawthorne berry,2,2
39314,hydromet,19,52
39322,fluzone high-dose,3,3
39323,fluzone,9,9
39326,fluzone,3,3
39338,carfilzomib,21,23
39347,phentermine hcl/topiramate,1,2
39350,omega-3,1,1
39357,myrbetriq,112,153
39362,fluvirin,1,1
39363,afluria,1,1
39376,bisabolol,13,13
39380,lubriderm advanced therapy,1,1
39381,flintstones complete,1,1
39390,prenatal one,7,7
39399,tobradex,42,48
39474,insulin syringe,4,4
39528,tudorza pressair,157,182
39531,nafcillin,18,18
39533,prosource,1,1
39543,stribild,3,4
39571,cinnamon bark/chromium picolinate,1,1
39580,xtandi,27,32
39581,triamino,1,1
39583,linzess,68,105
39590,bosulif,2,2
39604,cholecalciferol/folic acid/riboflavin/pyridoxine hcl/vit b12,2,2
39613,vascepa,4,4
39619,vitament,3,3
39623,cranberry,106,106
39624,aubagio,8,10
39628,fycompa,1,1
39658,episil,1,1
39665,stivarga,6,7
39670,preservision areds,9,11
39699,pediatric multivit comb no.20,1,1
39713,amino acids/protein hydrolysate/fiber,1,1
39723,caltrate,22,32
39728,eucerin intensive repair,1,1
39729,calcium,41,51
39732,astragalus extract,2,2
39761,cream base no.101,2,2
39768,xeljanz,1,1
39801,hydroxypropyl betadex,8,8
39821,rubidium chloride,1,1
39826,advil allergy-congestion rlf,1,1
39828,medihoney,3,3
39832,advil,1,1
39837,prenatal plus,14,14
39843,"prednisolone, micronized",2,2
39864,cinnamon bark/chromium picolinate/alpha lipoic acid,1,1
39869,green coffee bean,1,1
39870,effervescent,4,4
39883,lomitapide mesylate,3,3
39888,multivitamin-mineral/herbal complex no.208/beta-sitosterol,3,3
39897,crofelemer,1,2
39901,glucosamin/chondr-msm#1/d3/c/mangan/boswellia ser ext/na bor,43,44
39915,multivit with min/iron/folic acid/k/d3/choline/dha/fish oil,3,3
39920,iron fumarate & polysac comp/fa/vit b comp & c #18/l. casei,3,3
39921,multivit w-min/iron fumarate/folic acid/vit k/green tea xt,1,1
39960,digaz,8,8
39963,influenza vaccine tri-splt,1,1
39967,alogliptin benzoate/pioglitazone hcl,2,3
39968,nesina,3,3
39970,alogliptin benzoate/metformin hcl,1,1
39977,cranberry juice,4,4
39996,pomalyst,3,3
40005,iron,71,71
40017,multivitamin w-ca & minerals/iron fumarate/folic acid/vit k,6,7
40029,cyanocobal-levomef-pyridoxine,5,5
40037,pnv folic acid + iron,5,5
40041,kynamro,1,1
40046,kadcyla,1,1
40083,levomefol-pyridoxal-mec-algal,2,2
40096,osphena,1,1
40115,chlorella,1,1
40125,advaclear,10,10
40137,farxiga,10,15
40164,relion,1,2
40168,tecfidera,7,7
40171,invokana,91,98
40174,probiotic,229,229
40184,prenatal vitamin no.103/iron fum/fa/dha/epa/other omega-3s,1,1
40202,desvenlafaxine,12,12
40218,probiotic,61,61
40230,dexmedetomidine,2583,5809
40237,esbriet,1,1
40242,probiotic complex,1,1
40260,simbrinza,17,17
40270,omega-3,4,8
40279,liptruzet,17,17
40313,lipichol,3,3
40319,breo ellipta,34,65
40329,prenatal,5,5
40354,remedy calazime,1,1
40360,dabrafenib mesylate,1,2
40361,mekinist,1,2
40373,belviq,2,3
40380,prenatal no.64/iron fum/l-mefolate ca/algal oil/soy lecithin,1,1
40390,estroven mood & memory,1,1
40408,opurity,1,1
40447,calcium magnesium,7,8
40452,prezatide copper,2,2
40506,"immune globulin,bovine/plasma protein fraction, bovine",2,2
40511,clear eyes complete,1,1
40528,black cohosh,2,2
40533,tivicay,19,22
40566,dna medicated collection,1,2
40567,0.5 ml - influenza vac split quad,769,769
40597,zeaxanthin,6,6
40607,vytone,1,1
40632,fetzima,3,3
40637,brintellix,8,9
40644,adempas,75,75
40677,opsumit,70,73
40687,pomegranate fruit extract,4,5
40710,medroxyprogesterone ac micro,47,47
40745,imbruvica,5,7
40751,prenatal vit/folic acid/b6/calcium carb/ginger,1,1
40771,olysio,4,5
40795,sofosbuvir,30,52
40802,urea/emollient combination no,18,18
40839,"factor xiii a-subunit, recombinant",13,13
40852,anoro ellipta,41,44
40869,probiotic acidophilus,1,1
40871,"multivitamins-a,b,d,e,k,zn",4,4
40909,velphoro,7,7
40943,narcosoft ii,1,1
40967,apremilast,3,3
40969,olodaterol hcl,1,1
41001,nephrocaps,112,238
41013,mag-tab,2,3
41030,triprolidine hcl/phenylephrine hcl/dextromethorphan hbr,1,1
41066,bacillus coagulans/calcium carbonate,1,1
41106,multivitamin and fluoride,5,5
41114,multi-vitamin w-fluoride-iron,1,1
41115,umeclidinium bromide,1,1
41127,"multivitamin with iron,other minerals/folic acid/biotin",5,5
41149,multivitamins w-fluoride-iron,2,2
41153,dalbavancin hcl,1,1
41163,tanzeum,1,1
41217,jardiance,3,4
41287,canagliflozin/metformin hcl,1,2
41293,ayr saline nasal netirinse,2,2
41313,calcium carb/vit d3/mag ox/zinc/copper/manganese/mg borate,4,4
41349,ferrous bis-glycinate chelate,7,7
41378,ferric citrate,1,1
41403,propanediol,1,1
41421,trulicity,2,2
41427,prosight,1,1
41471,bifidobacterium animalis,1,1
41542,folate no.7/pcdha/pedha/naca/papain/intrinsic factor/mv #46,1,1
41600,cholecalciferol (vit d3)/folic acid,101,101
41641,zerbaxa,1,1
41644,viekira pak,1,1
41672,edoxaban tosylate,1,1
41686,movantik,2,2
41719,daily multivitamin,8,8
41733,prenatal vitamin,4,4
41796,gammagard liquid,4,8
41883,eldertonic,1,1
41947,macuvite eye care,2,2
42248,ocuvite eye + multi,2,2
42590,estroven energy,2,2
